50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.769859,,,,,,,,,,,,,,,1eefd935-236e-4c4d-8b39-1898f9c343ca,4072,,"[60.0, 40.0]",3869685,109,True,,,2.326416,,Right Foot,,,"[48.6, 52.1]",,Ground Pass,,16.62438,,,Jules Koundé,,,,,Kick Off,4,From Kick Off,Aurélien Djani Tchouaméni,10481.0,Right Defensive Midfield,229,France,771,['55c4dfa9-03e9-4f77-b232-041d79004eda'],58,,,,,,,,,,,,,,,France,771,00:04:58.904,Pass,
,,,,,,,,,,,,,,,,,,,,1.573767,,,,,,,,,,,,,,,d9a261a4-86d3-41c4-bf99-bc73bd669dd0,4074,,"[54.4, 71.6]",3869685,110,,,,-2.0650947,,Right Foot,,,"[45.4, 54.9]",,Ground Pass,,18.970766,,,Raphaël Varane,,,,,,4,From Kick Off,Jules Koundé,4445.0,Right Back,229,France,771,['de16cb97-b6ab-4973-90eb-0166cf7d6be7'],0,,,,,,,,,,,,,,,France,771,00:05:00.730,Pass,
,,,,,,,,,,,,,,,,,,,,2.916702,,,,,,,,,,,,,,,c16c45d8-96be-4b73-ab2f-7e82991db488,4078,,"[43.7, 53.2]",3869685,110,,,,-2.780459,,Left Foot,,,"[15.9, 42.7]",,Ground Pass,,29.71683,,,Hugo Lloris,,,,,,4,From Kick Off,Raphaël Varane,5485.0,Right Center Back,229,France,771,['b2ffac87-b777-4648-b1a0-8416a98718ef'],3,,,,,,,,,,,,,,,France,771,00:05:03.098,Pass,
,,,,,,,,,,,,,,,,,,,,7.267783,,,,,,,,,,,,,,,37d79b74-949e-42ef-ac88-e68246d511d1,4081,,"[21.0, 27.7]",3869685,110,,,,-0.1308274,,Left Foot,,,"[119.8, 14.7]",,High Pass,,99.651596,Out,,,,,,,,4,From Kick Off,Hugo Lloris,3099.0,Goalkeeper,229,France,771,,9,,,,,,,,,,,,,,,France,771,00:05:09.214,Pass,
,,,,,,,,,,,,,,,,,,,,3.711857,,,,,,,,,,,,,,,94daa6eb-b9db-4b8e-8026-f784db4fe852,4082,,"[7.0, 44.1]",3869685,110,True,,,0.38837624,,Right Foot,,,"[74.7, 71.8]",,High Pass,,73.14766,Incomplete,,,,,,,Goal Kick,4,From Goal Kick,Damián Emiliano Martínez,6909.0,Goalkeeper,230,Argentina,779,['1fc35427-24a8-497b-b304-fb4817bcdbf2'],50,,,,,,,,,,,,,,,Argentina,779,00:05:50.982,Pass,
,,,,,,,,,,,,,,,,,,,,2.000347,,,,,,,,,,,,,,,1fc35427-24a8-497b-b304-fb4817bcdbf2,4084,,"[45.4, 8.3]",3869685,110,,,True,2.158799,,,,,"[36.4, 21.8]",,High Pass,,16.224981,,,Raphaël Varane,,,,,Recovery,4,Regular Play,Marcus Thuram,2972.0,Left Midfield,231,France,771,"['65fafed1-e8b1-4124-9408-a65944c033d7', '856e4a73-28bf-42df-ab45-8af1ec64629b', '94daa6eb-b9db-4b8e-8026-f784db4fe852']",54,,,,,,,,,,,,,,,France,771,00:05:54.693,Pass,True
,,,,,,,,,,,,,,,,,,,,6.507882,,,,,,,,,,,,,,,5a9a278d-403a-4b99-af8a-cf80bd79455d,4087,,"[37.5, 21.5]",3869685,110,,,,-0.4208316,,Right Foot,,,"[76.6, 4.0]",,High Pass,,42.8376,,,Marcus Thuram,,,,,,4,Regular Play,Raphaël Varane,5485.0,Right Center Back,231,France,771,['079499af-9536-4f33-9bce-fad0199f0c68'],56,,,,,,,,,,,,,,,France,771,00:05:56.694,Pass,
,,,,,,,,,,,,,,,,,,,,2.847593,,,,,,,,,,,,,,,fe2bb03c-7fe6-487a-a030-1453eb3c0854,4089,,"[76.6, 4.0]",3869685,111,,,,0.1061568,,Head,,,"[101.0, 6.6]",,High Pass,,24.538134,Incomplete,,,,,,,,4,Regular Play,Marcus Thuram,2972.0,Left Midfield,231,France,771,['1535a264-7ff0-4236-964e-6d6583d498f5'],3,,,,,,,,,,,,,,,France,771,00:06:03.242,Pass,
,,,,,,,,,,,,,,,,,,,,0.696168,,,,,,,,,,,,,,,c9251708-0f4f-436e-a5b5-3d1765abbb49,4092,,"[90.8, 17.0]",3869685,111,,,,-2.0676072,,Right Foot,,,"[86.3, 8.7]",,Ground Pass,,9.441399,,,Marcus Thuram,,,,,Recovery,4,Regular Play,Randal Kolo Muani,22097.0,Right Center Forward,231,France,771,['d10012ca-a5bf-467a-870f-0f80beda39c2'],11,,,,,,,,,,,,,,,France,771,00:06:11.124,Pass,
,,,,,,,,,,,,,,,,,,,,4.377198,,,,,,,,,,,,,,,37f2e975-4972-4cbd-8155-1cef903b4a17,4102,,"[13.3, 64.8]",3869685,111,,,,-0.3431113,,Right Foot,,,"[85.8, 38.9]",,High Pass,,76.987404,Incomplete,,,,,,,Recovery,4,Regular Play,Cristian Gabriel Romero,20572.0,Right Center Back,231,France,771,['307b48fe-e753-40a5-a079-13aa7fd92e52'],14,,,,,,,,,,,,,,,Argentina,779,00:06:14.883,Pass,
